epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3539,2.40352,6.11207,0.60027,0,0,0,0,nan,nan,nan,0.000662698,0.000662698,0.000662698
2,54.1367,4.10155,4.17175,0.87493,0,0,0,0,nan,nan,nan,0.0013162,0.0013162,0.0013162
3,77.4458,4.57093,4.83128,0.95793,0,0,0,0,4.84119,33.9652,0.97031,0.00195651,0.00195651,0.00195651
4,100.105,4.67665,4.96547,0.91863,0,0,0,0,4.8037,5.94201,0.9268,0.0019406,0.0019406,0.0019406
5,122.329,4.75504,5.06862,0.92889,0,0,0,0,4.81697,4.71511,0.9219,0.0019208,0.0019208,0.0019208
6,144.35,4.78035,4.98341,0.90042,0,0,0,0,4.89382,4.59328,0.89515,0.001901,0.001901,0.001901
7,166.81,4.6181,4.9552,0.89625,0,0,0,0,4.64649,4.57811,0.86849,0.0018812,0.0018812,0.0018812
8,189.443,4.6013,4.92816,0.88136,0,0,0,0,4.75853,4.28476,0.86735,0.0018614,0.0018614,0.0018614
9,212.172,4.7081,4.96839,0.90495,0,0,0,0,4.74501,4.62714,0.87951,0.0018416,0.0018416,0.0018416
10,234.335,4.67689,4.92694,0.8887,0,0,0,0,4.7044,4.50692,0.88744,0.0018218,0.0018218,0.0018218
11,256.106,4.72726,4.9464,0.92034,0,0,0,0,4.81784,4.36133,0.87459,0.001802,0.001802,0.001802
12,278.488,4.68402,4.9007,0.9197,0,0,0,0,4.61986,4.43209,0.874,0.0017822,0.0017822,0.0017822
13,300.444,4.71825,4.86413,0.89532,0,0,0,0,4.84761,4.27852,0.87683,0.0017624,0.0017624,0.0017624
14,322.912,4.76183,4.88376,0.88552,0,0,0,0,4.77686,4.45073,0.89678,0.0017426,0.0017426,0.0017426
15,345.05,4.71609,4.86051,0.90965,0,0,0,0,4.65646,4.25621,0.88215,0.0017228,0.0017228,0.0017228
16,367.541,4.73736,4.83511,0.89893,0,0,0,0,4.69953,4.21181,0.87483,0.001703,0.001703,0.001703
17,389.868,4.74162,4.82741,0.91379,0,0,0,0,4.64097,4.45585,0.8754,0.0016832,0.0016832,0.0016832
18,412.063,4.7162,4.79407,0.8974,0,0,0,0,4.93085,4.42404,0.90314,0.0016634,0.0016634,0.0016634
19,434.843,4.71278,4.80398,0.89798,0,0,0,0,4.63439,4.36208,0.87493,0.0016436,0.0016436,0.0016436
20,457.339,4.66767,4.77655,0.89341,0,0,0,0,4.7057,4.13918,0.88644,0.0016238,0.0016238,0.0016238
21,479.963,4.71884,4.69081,0.9159,0.00047,0.00395,0.00025,2e-05,4.76528,3.99965,0.89729,0.001604,0.001604,0.001604
22,502.662,4.67795,4.57221,0.90295,0.00362,0.01186,0.00191,0.00038,4.8546,4.06839,0.89504,0.0015842,0.0015842,0.0015842
23,525.03,4.65887,4.53704,0.89041,0.00147,0.00395,0.0024,0.00072,4.78973,3.96913,0.87554,0.0015644,0.0015644,0.0015644
24,547.491,4.74781,4.45177,0.90239,0.00254,0.01581,0.00395,0.00109,4.69224,3.88893,0.88773,0.0015446,0.0015446,0.0015446
25,570.433,4.52465,4.34997,0.89917,0.00117,0.01581,0.00086,0.00038,4.61479,3.66892,0.88651,0.0015248,0.0015248,0.0015248
26,592.265,4.66705,4.32128,0.895,0.0032,0.01186,0.00252,0.00044,4.69257,3.68262,0.86994,0.001505,0.001505,0.001505
27,614.221,4.61783,4.27651,0.89599,0.00344,0.01581,0.00331,0.0012,4.45835,3.54915,0.88309,0.0014852,0.0014852,0.0014852
28,637.16,4.65499,4.312,0.91215,0.00188,0.01976,0.00155,0.00026,4.85854,3.60508,0.92052,0.0014654,0.0014654,0.0014654
29,659.745,4.66962,4.2027,0.90732,0.00252,0.01186,0.00186,0.0006,4.66566,3.50149,0.88829,0.0014456,0.0014456,0.0014456
30,681.928,4.62465,4.15893,0.89589,0.03028,0.01186,0.00184,0.00066,4.50942,3.52787,0.89243,0.0014258,0.0014258,0.0014258
31,704.206,4.63867,4.1374,0.90254,0.01653,0.00791,0.00143,0.00067,4.63186,3.34175,0.87925,0.001406,0.001406,0.001406
32,726.649,4.5557,4.10333,0.88947,0.17119,0.01186,0.00493,0.00076,4.89108,3.61411,0.95458,0.0013862,0.0013862,0.0013862
33,748.912,4.6351,4.11784,0.91976,0.06155,0.00791,0.00203,0.00038,4.80826,3.21036,0.89937,0.0013664,0.0013664,0.0013664
34,771.129,4.58057,4.06647,0.87925,0.00198,0.00791,0.00103,0.00015,4.77828,3.61267,0.90239,0.0013466,0.0013466,0.0013466
35,793.045,4.59182,4.09724,0.88455,0.0478,0.01186,0.00231,0.00056,4.49484,3.33468,0.89495,0.0013268,0.0013268,0.0013268
36,815.199,4.51733,4.01064,0.89073,0.00256,0.01186,0.0016,0.00055,4.50532,3.47454,0.88452,0.001307,0.001307,0.001307
37,836.996,4.54977,3.95872,0.89102,0.00154,0.01581,0.00101,0.00036,4.58839,3.27466,0.89283,0.0012872,0.0012872,0.0012872
38,859.229,4.57129,3.96699,0.90649,0.09257,0.01186,0.00341,0.00071,4.38141,3.29171,0.86444,0.0012674,0.0012674,0.0012674
39,881.529,4.46884,3.94855,0.89584,0.27783,0.00791,0.01053,0.00122,4.51597,3.40052,0.87739,0.0012476,0.0012476,0.0012476
40,904.261,4.48279,3.88061,0.90629,0.02548,0.00791,0.00268,0.00049,4.35241,3.38882,0.88619,0.0012278,0.0012278,0.0012278
41,925.315,4.44533,3.89404,0.90239,0.06521,0.01976,0.00913,0.00146,4.51011,3.72321,0.86679,0.001208,0.001208,0.001208
42,947.617,4.2981,3.7316,0.8753,0.01269,0.01976,0.00427,0.00063,4.6293,3.42308,0.84921,0.0011882,0.0011882,0.0011882
43,968.979,4.37308,3.77031,0.8917,0.1485,0.02372,0.01479,0.00608,4.08475,3.10744,0.88046,0.0011684,0.0011684,0.0011684
44,991.797,4.30086,3.75508,0.88647,0.18452,0.02767,0.01998,0.00558,4.24607,2.90933,0.86461,0.0011486,0.0011486,0.0011486
45,1014.56,4.09127,3.47188,0.86529,0.18448,0.03557,0.02249,0.00575,3.85193,2.95989,0.84116,0.0011288,0.0011288,0.0011288
46,1036.97,4.0758,3.53823,0.87848,0.10495,0.03953,0.02139,0.00578,3.89196,3.20968,0.84662,0.001109,0.001109,0.001109
